restaurant_id,restaurant_name,location,cuisine,rating,avg_cost
R0491,Restaurant_491,Chennai,Indian,5.3,363
R0492,Restaurant_492,Mumbai,Indian,2.5,651
R0493,Restaurant_493,Hyderabad,Chinese,5.2,22
R0494,Restaurant_494,Bangalore,Chinese,2.7,634
R0495,Restaurant_495,Hyderabad,Chinese,5.4,496
R0496,Restaurant_496,Hyderabad,Italian,3.3,671
R0497,Restaurant_497,Chennai,indian,3.6,247
R0498,Restaurant_498,Mumbai,Indian,2.8,594
R0499,Restaurant_499,Mumbai,indian,2.8,232
R0500,Restaurant_500,Bangalore,indian,4.7,454
